499	1367
544	1309.5
549.8	1301.46
555.2	1292.66
560.2	1283.12
564.8	1272.82
569	1261.78
572.8	1249.98
576.2	1237.43
579.2	1224.13
581.8	1210.08
584	1195.28
585.8	1179.72
587.2	1163.42
588.2	1146.36
588.8	1128.56
589	1110
588.802	1089.89
588.209	1070.64
587.22	1052.24
585.836	1034.69
584.056	1018
581.88	1002.16
579.309	987.173
576.342	973.04
572.98	959.76
569.222	947.333
565.069	935.76
560.52	925.04
555.576	915.173
550.236	906.16
544.5	898
538.462	890.524
532.216	883.564
525.76	877.12
519.096	871.191
512.222	865.778
505.14	860.88
497.849	856.498
490.349	852.631
482.64	849.28
474.722	846.444
466.596	844.124
458.26	842.32
449.716	841.031
440.962	840.258
432	840
423.293	840.256
414.773	841.022
406.44	842.3
398.293	844.089
390.333	846.389
382.56	849.2
374.973	852.522
367.573	856.356
360.36	860.7
353.333	865.556
346.493	870.922
339.84	876.8
333.373	883.189
327.093	890.089
321	897.5
315.2	905.538
309.8	914.318
304.8	923.84
300.2	934.104
296	945.111
292.2	956.86
288.8	969.351
285.8	982.584
283.2	996.56
281	1011.28
279.2	1026.74
277.8	1042.94
276.8	1059.88
276.2	1077.57
276	1096
276.198	1116.24
276.791	1135.61
277.78	1154.12
279.164	1171.77
280.944	1188.56
283.12	1204.48
285.691	1219.54
288.658	1233.74
292.02	1247.08
295.778	1259.56
299.931	1271.17
304.48	1281.92
309.424	1291.81
314.764	1300.84
320.5	1309
326.533	1316.48
332.767	1323.44
339.2	1329.88
345.833	1335.81
352.667	1341.22
359.7	1346.12
366.933	1350.5
374.367	1354.37
382	1357.72
389.833	1360.56
397.867	1362.88
406.1	1364.68
414.533	1365.97
423.167	1366.74
432	1367
440.836	1366.74
449.476	1365.98
457.92	1364.7
466.169	1362.91
474.222	1360.61
482.08	1357.8
489.742	1354.48
497.209	1350.64
504.48	1346.3
511.556	1341.44
518.436	1336.08
525.12	1330.2
531.609	1323.81
537.902	1316.91


582	-54
1381	1491
1235	1491
433	-54


1067	145
1155.5	45.5
1167.5	32.6756
1179.89	20.7356
1192.68	9.68
1205.86	-0.491112
1219.44	-9.77778
1233.42	-18.18
1247.79	-25.6978
1262.56	-32.3311
1277.72	-38.08
1293.28	-42.9444
1309.23	-46.9244
1325.58	-50.02
1342.32	-52.2311
1359.46	-53.5578
1377	-54
1394.81	-53.5533
